iter	Passed	Remaining
0	0	854
1	1	732
2	2	675
3	2	658
4	3	643
5	3	641
6	4	631
7	5	623
8	5	616
9	6	617
10	6	614
11	7	612
12	8	608
13	8	603
14	9	598
15	9	595
16	10	595
17	10	596
18	11	595
19	12	594
20	12	593
21	13	593
22	13	592
23	14	590
24	15	586
25	15	584
26	16	581
27	16	581
28	17	581
29	17	580
30	18	578
31	19	577
32	19	577
33	20	577
34	20	575
35	21	574
36	22	573
37	22	574
38	23	574
39	23	573
40	24	573
41	25	573
42	25	573
43	26	573
44	26	571
45	27	570
46	28	569
47	28	568
48	29	567
49	29	566
50	30	565
51	31	565
52	31	564
53	32	564
54	32	563
55	33	562
56	33	561
57	34	560
58	35	559
59	35	558
60	36	557
61	36	556
62	37	558
63	38	558
64	38	557
65	39	557
66	40	558
67	40	557
68	41	556
69	41	555
70	42	555
71	42	553
72	43	552
73	44	552
74	44	551
75	45	550
76	45	548
77	46	547
78	46	546
79	47	545
80	47	543
81	48	543
82	48	539
83	49	538
84	49	538
85	50	537
86	51	536
87	51	536
88	52	535
89	52	534
90	53	533
91	53	532
92	54	532
93	55	531
94	55	531
95	56	531
96	57	530
97	57	530
98	58	529
99	58	529
100	59	528
101	59	527
102	60	526
103	61	526
104	61	525
105	62	525
106	62	525
107	63	524
108	64	524
109	64	523
110	65	522
111	65	521
112	66	520
113	66	519
114	67	519
115	68	518
116	68	516
117	69	516
118	69	516
119	70	515
120	70	514
121	71	513
122	71	512
123	72	511
124	72	510
125	73	509
126	73	508
127	74	507
128	75	507
129	75	506
130	76	505
131	76	504
132	77	505
133	78	505
134	78	505
135	79	505
136	80	505
137	80	505
138	81	504
139	81	503
140	82	502
141	82	500
142	83	499
143	83	498
144	84	497
145	84	496
146	85	494
147	85	493
148	86	493
149	86	492
150	87	491
151	87	490
152	88	489
153	89	489
154	89	488
155	90	487
156	90	486
157	91	485
158	91	484
159	92	483
160	92	481
161	93	481
162	93	480
163	94	479
164	94	478
165	95	478
166	95	477
167	96	476
168	96	475
169	97	474
170	97	473
171	98	472
172	98	472
173	99	471
174	99	470
175	100	469
176	100	468
177	101	467
178	101	467
179	102	466
180	102	465
181	103	464
182	103	463
183	104	462
184	104	461
185	105	460
186	105	460
187	106	459
188	106	458
189	107	457
190	107	457
191	108	456
192	108	455
193	109	454
194	109	453
195	110	452
196	110	451
197	111	451
198	111	450
199	112	450
200	113	449
201	113	448
